Net Status Report
Filename     : D:\rfm22 footprint\RFM22.PcbDoc
Date         : 18.9.2011
Time         : 15:49:18
Time Elapsed : 00:00:00

Nets, Layer, Length
    GLED, Signal Layers Only, 0mils
    GND, Signal Layers Only, 0mils
    NIRQ, Signal Layers Only, 0mils
    NSEL, Signal Layers Only, 0mils
    NetC1_2, Signal Layers Only, 0mils
    NetC2_1, Signal Layers Only, 0mils
    NetC3_2, Signal Layers Only, 0mils
    NetC4_2, Signal Layers Only, 0mils
    NetC5_2, Signal Layers Only, 0mils
    NetC6_2, Signal Layers Only, 0mils
    NetD1_1, Signal Layers Only, 0mils
    NetD2_1, Signal Layers Only, 0mils
    NetJ1_1, Signal Layers Only, 0mils
    NetM1_10, Signal Layers Only, 0mils
    NetM1_11, Signal Layers Only, 0mils
    NetM1_12, Signal Layers Only, 0mils
    NetM1_13, Signal Layers Only, 0mils
    NetM1_14, Signal Layers Only, 0mils
    NetM1_3, Signal Layers Only, 0mils
    NetM1_4, Signal Layers Only, 0mils
    NetP1_2, Signal Layers Only, 0mils
    NetP1_3, Signal Layers Only, 0mils
    NetR1_2, Signal Layers Only, 0mils
    NetR3_1, Signal Layers Only, 0mils
    NetS2_2, Signal Layers Only, 0mils
    PB0, Signal Layers Only, 0mils
    PD5, Signal Layers Only, 0mils
    PD6, Signal Layers Only, 0mils
    PD7, Signal Layers Only, 0mils
    RLED, Signal Layers Only, 0mils
    RST, Signal Layers Only, 0mils
    SCK, Signal Layers Only, 0mils
    SDI, Signal Layers Only, 0mils
    SDO, Signal Layers Only, 0mils
    V+, Signal Layers Only, 0mils
    VCC, Signal Layers Only, 0mils
count : 36
